!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",wo
case 061,2ff82e49-d81d-41aa-bfb6-42fb4c1771b5,5,2,4,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,4,4,5,5,5,5,5,5,5,"Amei as recomendações, exatamente dos gêneros e escritores que eu gosto"
case 091,3d8af0a5-1202-4318-812f-ef5a88223c4b,5,2,5,20 to 50 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Pós-graduação incompleta,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,4,5,4,5,5,4,4,5,"Adorei os livros q foram selecionados para mim,mas poderia como sugestão, entrar direto no site de compra dos livros!"
case 105,467f43ef-dfc8-4a5f-b068-1a6b15cd936e,5,2,3,20 to 50 books in a year,22 - 25 anos,Feminino,Mato Grosso do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,"Me surpreendi com as recomendações, pois elas se encaixaram exatamente nos meus gêneros favoritos. Tanto que algumas delas, eu já possuia na minha estante. O aplicativo me lembrou bastante os aplicativos de músicas, pois a forma como ele recomendou essas obras, são similares aos aplicativos de música, o que achei bastante interessante. "
case 177,6ffc6693-03a2-4411-89b5-27dcaf4b5fb6,5,2,2,20 to 50 books in a year,Mais de 40 anos,Feminino,Distrito Federal,Pós-graduação incompleta,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,5,5,5,5,1,4,5,5,5,3,5,
case 244,9b9de854-3443-4fb2-b373-eaeb6bec60de,5,2,2,20 to 50 books in a year,34 - 37 anos,Feminino,Rio de Janeiro,Superior completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,2,4,3,5,5,5,5,5,5,
case 253,9f6e42f2-9767-4eaa-9ad0-06eb6ddd54d1,5,2,2,20 to 50 books in a year,38 - 40 anos,Feminino,Sergipe,Superior incompleto,Casado(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,5,5,5,5,5,5,Ótimo aplicativo! Amei!
case 280,b37f19ee-4d26-4a07-b0ce-5336de653de2,5,2,2,20 to 50 books in a year,18 - 21 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,5,4,5,5,4,5,5,5,5,5,5,
case 284,b6ef6afc-fa80-40bb-9d5f-998c53d08649,5,2,3,20 to 50 books in a year,18 - 21 anos,Feminino,Amazonas,Superior incompleto,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,3,2,5,5,4,3,5,5,
case 290,b91543c0-6b99-427b-a699-63fd18ee3c16,5,2,2,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 296,bc75ce0a-d74d-4df2-b70e-ac4acfd03ef5,5,2,2,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",4,5,5,5,4,5,2,5,5,4,4,5,
case 299,bdcf7640-515e-444f-8f95-ea73277d8126,5,2,3,20 to 50 books in a year,26 - 29 anos,Feminino,Goiás,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 304,bf6d140d-549c-44d0-a281-80669c13b2d0,5,2,2,20 to 50 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Prefiro não declarar,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,4,5,4,5,5,5,5,5,5,
case 324,cf4c8c18-33a0-461a-980f-5a0206b46834,5,2,2,20 to 50 books in a year,38 - 40 anos,Feminino,Minas Gerais,Pós-graduação completa,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,5,5,5,5,4,5,5,
case 374,f385b0e0-228c-4f43-84ac-f934eb7e5911,5,2,2,20 to 50 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 157,6558594a-a1bd-493f-b4e1-725bc0805a26,5,2,5,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 5.449,00 a R$ 10.427,00",1,3,1,1,3,1,1,1,2,5,2,3,"Bom, eu gostei do app porém tinha poucos livros nas recomendações e poucos gêneros literários para escolher, desse modo fui obrigada a selecionar gêneros que não gosto por falta de opção, consequentemente as recomendações pra mim não foram boas e minha experiência com o app não foi também não, porém acho que tem muito potencial se melhorar nas questões que citei acima."
case 275,afdc3a64-016d-4006-84fd-8c768f47c4b6,5,2,1,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",2,4,1,1,5,5,1,1,1,1,1,1,Muitos dos livros recomendados eu já tinha lido. 
case 021,0fe3a112-e628-4eec-9bda-c97ba0590195,5,2,2,50 to 100 books in a year,26 - 29 anos,Feminino,Pará,Superior incompleto,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,4,1,4,3,5,3,2,4,3,2,3,
case 137,58faaa7c-ebc5-4df5-8f4d-b8cb2534d3a5,5,2,3,50 to 100 books in a year,22 - 25 anos,Feminino,Santa Catarina,Superior completo,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,4,5,4,4,3,4,2,4,4,Talvez ter mais opções sugeridas facilitaria mais. 
case 333,d4da8649-9b42-43c1-ab21-d3bf5af58479,5,2,2,50 to 100 books in a year,Mais de 40 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",2,2,2,2,2,3,3,3,3,2,3,2,Adorei os livros recomendados .
case 340,dbff53d9-8fc4-46ec-af65-72e2ec5c1445,5,2,2,50 to 100 books in a year,38 - 40 anos,Feminino,Santa Catarina,Superior completo,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",3,3,3,3,3,3,3,3,3,3,3,3,
case 004,03322938-0e27-403c-85a0-6a576706a4b4,5,2,3,50 to 100 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,3,4,4,3,2,5,4,5,3,3,2,
case 118,4ec21164-250f-494d-8534-b678b3a2154a,5,2,4,50 to 100 books in a year,26 - 29 anos,Feminino,Rio Grande do Norte,Ensino médio completo,União Estável,Branca,Prefiro não declarar,4,5,5,3,2,2,2,4,4,4,4,5,Apenas uma atualização das indicações 
case 127,54bee7e5-c4c6-4179-a439-c7f623552502,5,2,3,50 to 100 books in a year,22 - 25 anos,Feminino,Pernambuco,Superior completo,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,3,5,2,5,4,5,5,5,5,
case 132,5687553c-d0f9-4e1b-aef9-e577b27f05fb,5,2,3,50 to 100 books in a year,18 - 21 anos,Feminino,Tocantins,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,2,3,5,3,4,4,5,4,5,
case 160,686301af-3659-4755-86e2-1f4ff8c6112f,5,2,3,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,4,3,1,3,1,5,4,4,4,3,4,
case 180,72cecd2b-6782-4768-91b3-4a5dc2333d3c,5,2,4,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,3,5,4,3,2,4,4,3,3,4,5,
case 281,b488186e-cea2-4337-b50e-ea5342988fd1,5,2,5,50 to 100 books in a year,18 - 21 anos,Feminino,Ceará,Ensino médio completo,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,5,5,4,4,4,5,5,5,5,"Mentirosos
Os sete maridos de Evelyn hugo
Amor e gelato
Teto para dois
"
case 292,ba244a6b-e71d-43b1-856c-ac17b33a4ea0,5,2,3,50 to 100 books in a year,30 - 33 anos,Feminino,Santa Catarina,Superior completo,Casado(a),Branca,"Acima de R$ 10.427,00",5,4,5,4,4,5,2,4,5,2,4,4,
case 370,ef6a0693-e651-4918-9ee9-a2c47d7f8cb3,5,2,3,50 to 100 books in a year,30 - 33 anos,Feminino,Paraíba,Superior incompleto,Solteiro(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,5,4,4,5,4,4,4,4,5,"Gostaria que tivesse mais opções e um maior número de livros para favoritar, achei 5 pouco."
case 373,f1fe1ca2-9856-4c6e-88da-55551cf15242,5,2,3,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,3,5,4,1,5,4,5,5,4,3,
case 028,19b441d8-60be-4830-b194-934d1cd3d1ac,5,2,3,50 to 100 books in a year,26 - 29 anos,Feminino,Paraná,Superior incompleto,Casado(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,5,5,4,5,5,4,5,5,Poderia ter a opção para marcar como eu já li o livro
case 117,4e05bdf8-6ef7-44c3-8db5-79c331e6ca52,5,2,3,50 to 100 books in a year,18 - 21 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,4,5,4,5,5,4,5,5,
case 131,5639a846-83f6-44f2-933c-90ead72a1e04,5,2,4,50 to 100 books in a year,22 - 25 anos,Feminino,Espírito Santo,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,2,3,1,3,2,5,5,5,1,2,3,"Selecionei fantasia e romance, mas o app me mostrou que não se encaixam na categoria. Favorito livros que já tinha lido."
case 135,57e686da-d5e1-4b23-a54f-ec2ca9efccc5,5,2,2,50 to 100 books in a year,18 - 21 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",5,4,5,4,5,4,5,5,5,5,5,5,
case 159,665abc66-a764-4f87-8c03-200a67e7f625,5,2,2,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,4,5,4,5,5,5,5,5,5,
case 167,6afbc96b-e2d7-4c16-816e-e22fdb21150a,5,2,4,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,4,2,5,5,5,5,5,5,
case 230,93162f3e-341c-4fc2-b231-72ce2a8e3b92,5,2,3,50 to 100 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,5,4,4,5,5,4,5,5,
case 377,f5ecae04-cabd-4e78-892e-a515ecfed57c,5,2,2,50 to 100 books in a year,34 - 37 anos,Feminino,Maranhão,Superior completo,Casado(a),Parda,"De R$ 5.449,00 a R$ 10.427,00",5,5,5,4,4,4,5,5,5,5,4,5,
case 050,2ae72c58-90ab-4ffb-be17-238e749e0086,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rondônia,Pós-graduação incompleta,União Estável,Parda,"De R$ 1.805,00 a R$ 3.042,00",2,2,3,1,2,1,2,2,2,3,3,3,
case 015,0abe888e-6a77-491a-8a54-cc03644ba0e0,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,4,5,4,2,3,4,4,4,4,
case 239,9896210d-d7ff-42c5-b5c2-93bd2d942c93,5,2,5,6 to 20 books in a year,26 - 29 anos,Feminino,Mato Grosso,Pós-graduação completa,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",3,4,3,4,3,3,4,3,4,3,4,5,
case 030,1a38d366-3bf5-403c-9128-feaca537751c,5,2,5,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,4,4,5,3,5,4,5,5,5,5,
case 084,3a9dc1b0-871c-44ac-9f61-0e99da1ddd7f,5,2,3,6 to 20 books in a year,38 - 40 anos,Prefiro não dizer,São Paulo,Superior completo,Casado(a),Parda,"De R$ 813,00 a R$ 1.805,00",2,4,4,4,5,4,4,4,3,4,3,4,"Alguns botões não estão funcionando corretamente. O de gênero não deixou selecionar feminino, por exemplo"
case 210,827b49db-cfbb-4532-8295-2f71fc8cba93,5,2,4,6 to 20 books in a year,26 - 29 anos,Feminino,Amapá,Superior incompleto,Solteiro(a),Preta,"Até R$ 813,00",4,4,4,4,2,4,2,4,4,4,4,4,
case 291,b965a406-662a-47d9-964b-87b6bedfb883,5,2,5,6 to 20 books in a year,34 - 37 anos,Masculino,Pernambuco,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,4,4,2,3,2,4,4,4,4,4,"Ficou uma certa dúvida quanto as características e gêneros dos livros escolhidos. Deveria informar isto na descrição de cada livro. Informações técnicas também seria interessante, pra que compra e lê é importante. A interface do app vai ganhar mais cores? "
case 303,bf65ed44-ee9f-453b-afad-45d1f3010732,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,5,4,3,4,4,3,4,3,5,
case 336,d7589a3d-a8bc-4cab-a377-56b6e6ec9983,5,2,4,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,4,5,2,2,4,4,4,5,2,3,2,
case 344,ddf1f0a0-8b6d-4ea4-b303-7eb02be35175,5,2,2,6 to 20 books in a year,26 - 29 anos,Feminino,Rio Grande do Norte,Superior incompleto,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,3,4,4,5,4,4,4,
case 023,138f0ae6-2c64-4508-9fac-a6ce5744dc56,5,2,3,6 to 20 books in a year,18 - 21 anos,Feminino,Ceará,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,5,5,5,5,4,5,4,Gostei bastante e até queria marcar mais livros porque realmente amei as recomendações!!!
case 026,18cee2e0-e461-4c23-bfde-1284427706e2,5,2,3,6 to 20 books in a year,34 - 37 anos,Feminino,Rio Grande do Sul,Pós-graduação completa,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,5,5,4,5,5,5,5,4,4,
case 055,2d4ae2ef-c9bb-4362-8ae1-856aea75731d,5,2,2,6 to 20 books in a year,30 - 33 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,5,4,5,5,5,5,5,
case 069,33572615-d025-42e2-a145-8cd4682930cb,5,2,3,6 to 20 books in a year,34 - 37 anos,Feminino,Minas Gerais,Pós-graduação completa,Solteiro(a),Parda,Prefiro não declarar,2,5,5,1,3,3,4,5,4,4,3,4,
case 113,4b9c5001-7199-4a90-b059-2ecefb469825,5,2,3,6 to 20 books in a year,26 - 29 anos,Masculino,São Paulo,Pós-graduação incompleta,União Estável,Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,4,5,4,5,5,4,5,5,
case 121,51692a46-7bf5-4c3b-9c71-917b3b707390,5,2,1,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,4,4,3,5,5,4,5,5,4,
case 136,5848f9ea-be27-4e47-8613-07a7141c24b6,5,2,2,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,4,5,5,5,4,5,4,5,5,5,
case 183,743b90b6-4166-40ce-96a0-9009d2aa16a5,5,2,3,6 to 20 books in a year,18 - 21 anos,Feminino,Santa Catarina,Ensino médio completo,Solteiro(a),Preta,Prefiro não declarar,5,1,5,5,5,5,5,5,5,5,5,5,
case 191,795c856a-5320-4c1e-9bbc-8a00f142ad29,5,2,4,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Preta,"De R$ 3.042,00 a R$ 5.449,00",5,4,5,5,4,4,4,5,4,4,4,4,
case 260,a4c9d155-a4fd-4390-95d1-e8b1c153e43f,5,2,4,6 to 20 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,Poderiam recomendar mais livros de Terror
case 267,ab268cbc-7416-4057-86e0-754352019b35,5,2,5,6 to 20 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Superior incompleto,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,3,5,5,5,5,5,5,"Achei um bom aplicativo para nós que amamos ler e as vezes não sabemos qual será nossa próxima leitura, ele recomenda livros bons."
case 302,bf598f2d-d0a9-4685-83eb-9648d8070d53,5,2,2,6 to 20 books in a year,26 - 29 anos,Feminino,Minas Gerais,Superior completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",4,5,4,5,4,2,4,5,5,5,4,5,
case 337,d7e19f8b-e5f6-41cd-89a9-1a848c0c2141,5,2,5,6 to 20 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,4,5,5,5,5,5,5,
case 355,e2f3ad37-c711-4c4d-a30f-51adf70f04bb,5,2,2,6 to 20 books in a year,18 - 21 anos,Feminino,Santa Catarina,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,5,3,5,5,5,4,5,5,
case 359,e4285377-af08-44b9-af57-b236670fa59a,5,2,3,6 to 20 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior incompleto,União Estável,Parda,"Até R$ 813,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 367,eb3acf4d-acb9-4324-b0de-abc08f96cdac,5,2,3,6 to 20 books in a year,26 - 29 anos,Feminino,Minas Gerais,Superior completo,União Estável,Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,3,4,1,5,5,5,5,5,5,
case 376,f597ed34-19a3-4e8e-bec4-a473cb95de16,5,2,3,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,5,4,3,5,5,5,4,5,5,
case 012,08359afb-219b-43bc-87dc-7096152a5663,5,2,3,More than 100 books in a year,22 - 25 anos,Feminino,São Paulo,Superior completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,4,4,4,4,4,5,5,5,5,Adorei 
case 076,3735ef3a-60ce-4557-9bc6-760ad429cf93,5,2,3,More than 100 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,4,4,4,5,4,5,5,
case 092,3e1c5964-939c-4a1c-8d6d-3daa5b6c7d6d,5,2,3,More than 100 books in a year,18 - 21 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,5,5,4,5,3,5,4,5,5,5,5,Poderiam recomendar livros desconhecidos também
case 206,804a08dc-fe7f-4c04-ba88-e16f99e5286d,5,2,1,More than 100 books in a year,30 - 33 anos,Feminino,Santa Catarina,Superior completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",3,4,3,4,3,4,4,4,4,3,4,3,
case 098,43703c3d-1ae8-4337-8a99-334d5c534875,5,2,4,More than 100 books in a year,34 - 37 anos,Feminino,Pernambuco,Pós-graduação completa,Casado(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,5,3,2,2,3,4,5,5,5,4,4,
case 246,9d00d596-fdee-4e45-ad68-39e6d367bb57,5,2,3,More than 100 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,5,4,4,5,5,5,5,5,
case 173,6e2a66f8-5a6e-42f0-80c5-4a36deddb73a,6,2,2,20 to 50 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,4,1,3,1,1,3,5,4,5,4,
case 027,19711f1c-0794-4c36-9811-a96868d6b72f,4,3,3,20 to 50 books in a year,Mais de 40 anos,Feminino,Minas Gerais,Superior completo,Solteiro(a),Prefiro não declarar,"De R$ 3.042,00 a R$ 5.449,00",4,5,4,2,2,1,,4,4,,4,5,
case 095,3ffbd22d-2856-4066-a64a-40ef84f9448d,4,3,3,20 to 50 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,4,5,4,5,5,5,5,4,5,
case 138,5a1a5044-0877-4c0b-ade3-e0b7ce4a33b1,4,3,4,20 to 50 books in a year,18 - 21 anos,Feminino,Rio de Janeiro,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",5,4,5,5,4,4,5,5,5,5,4,5,"Eu adorei todas as indicações, inclusive alguns dos livros já estavam na minha lista para comprar futuramente. O aplicativo é realmente muito bom, ainda mais quando se precisa conhecer livros novos. Eu amei!"
case 083,3a57587b-435d-4bc4-9f83-1f7bc73f0c54,5,3,3,1 to 5 books in a year,30 - 33 anos,Feminino,Rio de Janeiro,Superior incompleto,Casado(a),Branca,Prefiro não declarar,4,5,4,5,4,5,4,4,4,5,5,5,
case 250,9dfb27ed-79e3-4de2-a27d-eb2175eae1ac,5,3,5,1 to 5 books in a year,22 - 25 anos,Masculino,Rio de Janeiro,Superior incompleto,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,4,5,4,4,5,5,5,5,
case 311,c42158f8-400e-4c77-b4ca-58f4a7c59bb3,5,3,5,20 to 50 books in a year,30 - 33 anos,Feminino,Ceará,Pós-graduação completa,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",2,2,2,2,2,2,2,2,2,2,2,2,
case 350,e0b80c98-7aa8-4304-815c-e593cfb36c71,5,3,4,20 to 50 books in a year,26 - 29 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",3,2,3,3,2,3,3,2,3,3,3,3,
case 358,e3b88f70-2a76-47dd-82e5-e51cbd4c28fd,5,3,2,20 to 50 books in a year,22 - 25 anos,Feminino,Rio de Janeiro,Superior incompleto,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",2,5,3,1,5,4,3,3,4,3,3,4,"Dos livros recomendados, a maioria eu já finha lido, entre que eu não tinha lido eu ja conhecia a maioria e teve 3 que não eram do meu interesse, então me ajudou em nada, mas gostei mesmo assim da proprosta, as vwzes procuro algo para ler e não sei por onde começar, então eu usaria o app. Dica: seria bom ter uma parte onde a pessoa marca os livros que já leu, assim as recomendações serão sempre novas"
case 140,5b128062-8641-4bc7-8cbc-756b4a063c32,5,3,3,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Ensino médio completo,Solteiro(a),Prefiro não declarar,Prefiro não declarar,4,5,5,1,4,1,5,4,4,5,5,4,
case 151,62a68819-9dfa-4a0c-8942-c6e9ff223630,5,3,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,3,5,3,3,4,4,4,5,5,3,2,
case 216,88e6235b-62f0-48e6-881a-56868b57e38b,5,3,3,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",3,5,5,4,4,5,5,4,4,5,4,5,
case 229,929c7db4-fa95-4770-9f73-83d32754a1b1,5,3,3,20 to 50 books in a year,Mais de 40 anos,Feminino,São Paulo,Pós-graduação completa,Separado (a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,5,4,4,4,5,4,4,4,4,4,
case 254,9ff0dbfe-c9ee-4a22-80d3-968d4b15aab8,5,3,5,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,4,4,5,4,4,4,5,5,5,"Poderia colocar mais recomendação de livros de romance, eu não vi muitos"
case 271,aca87bae-7b25-483a-ab8e-aded8c41f140,5,3,2,20 to 50 books in a year,26 - 29 anos,Feminino,Santa Catarina,Superior completo,Casado(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",4,5,4,4,4,5,4,4,5,5,5,5,
case 126,53a60695-d45b-455f-b233-7b6bdeff71a4,5,3,3,20 to 50 books in a year,18 - 21 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Preta,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,4,5,5,5,5,5,5,"As recomendações superaram as minhas expectativas. O aplicativo sugeriu livros que quero ler, e o formulário no início do app, que pede para colocar os gêneros literários preferidos,  contribuiu muito para que os livros propostos chamassem bastante a minha atenção."
case 143,5bff8cb3-cfbf-4aa2-8856-9a4bb586edc4,5,3,4,20 to 50 books in a year,18 - 21 anos,Feminino,Pernambuco,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,3,5,4,5,4,4,5,4,5,5,4,
case 193,7996b3b3-cf39-4095-a111-9183398187ba,5,3,5,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,5,4,5,1,5,5,5,5,5,5,
case 257,a36bd05c-f873-462b-a3e3-856f06ad405b,5,3,4,20 to 50 books in a year,Mais de 40 anos,Feminino,Ceará,Pós-graduação completa,Separado (a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,5,4,5,5,5,5,5,5,
