decision_time_control,book_position_control,decision_time_treatment,book_position_treatment
52,5,71,0
52,22,71,14
52,4,71,22
52,22,72,2
52,18,72,6
52,23,72,22
52,0,72,0
53,16,72,4
53,16,72,13
53,10,72,5
53,20,72,13
53,5,73,1
53,22,73,10
53,13,73,8
53,16,73,10
53,21,73,4
53,23,73,16
53,18,73,6
53,12,73,8
53,10,73,22
53,8,73,1
53,22,73,18
53,14,73,2
53,0,73,4
53,16,73,22
54,19,73,18
54,0,73,0
54,10,74,20
54,22,74,0
54,13,74,20
54,2,74,3
54,0,74,12
54,22,74,0
54,18,74,18
54,2,74,1
54,16,74,18
54,5,74,22
54,10,74,17
54,23,74,20
54,20,74,20
54,12,74,15
54,0,74,6
54,10,74,22
55,6,75,2
55,6,75,3
55,2,75,1
55,2,75,18
55,20,75,11
55,4,75,17
55,14,75,9
55,0,75,6
55,10,75,4
55,23,75,17
55,18,75,3
55,20,75,21
55,8,75,23
55,5,75,2
55,4,75,15
55,18,75,16
56,10,76,9
56,0,76,3
56,4,76,12
56,16,76,5
56,14,76,13
56,20,76,17
56,5,76,9
56,22,76,9
56,16,76,18
56,15,76,1
56,8,76,4
56,22,77,16
56,10,77,0
56,16,77,13
56,12,77,12
57,6,77,16
57,4,78,13
57,16,78,8
57,8,78,17
57,9,78,14
57,21,78,11
57,4,78,18
57,10,78,18
57,0,78,4
57,6,78,18
57,6,78,23
57,12,78,20
57,14,79,10
57,20,79,1
58,10,79,3
58,16,79,4
58,20,79,17
58,18,79,20
58,10,79,4
58,11,79,22
58,8,79,6
58,20,79,22
58,23,79,0
58,9,80,2
58,8,80,2
58,8,80,23
58,5,80,21
58,17,80,18
58,4,80,5
58,1,80,21
58,21,81,16
58,21,81,3
58,2,81,22
58,20,81,1
58,1,81,23
58,13,81,8
59,16,81,20
59,6,81,9
59,5,81,16
59,15,81,14
59,8,81,13
59,20,82,16
59,2,82,9
59,10,82,20
59,8,82,12
59,13,82,18
60,21,82,2
60,0,82,5
60,16,82,17
60,12,82,20
60,12,82,1
60,13,82,19
60,20,83,10
60,4,83,3
60,22,83,17
60,12,83,1
60,2,83,20
60,14,83,0
61,5,83,3
61,15,83,0
61,20,83,19
61,6,84,18
61,2,84,8
61,6,84,11
61,10,84,12
61,2,84,2
61,3,84,10
61,21,84,3
61,22,84,14
61,16,84,15
61,22,84,15
61,0,84,8
61,1,85,2
61,21,85,6
61,4,85,2
61,11,85,21
62,8,85,8
62,10,85,12
62,22,85,1
62,8,85,8
62,6,85,5
62,22,85,5
62,7,85,22
62,14,85,10
62,3,86,22
62,19,86,6
62,16,86,20
62,4,86,11
62,0,87,1
63,22,87,15
63,12,87,18
63,19,87,1
63,12,87,16
63,15,87,6
63,18,87,10
63,1,87,21
63,9,88,6
63,1,88,0
63,16,88,16
63,0,88,8
64,9,88,2
64,0,88,4
64,12,88,17
64,11,88,0
64,4,88,9
64,2,88,12
64,22,88,8
64,2,89,20
64,13,89,1
64,0,89,10
64,3,89,20
64,18,89,8
64,0,89,12
65,13,89,11
65,2,90,7
65,0,90,16
65,23,90,0
65,18,90,13
65,4,90,22
65,8,90,5
65,1,90,11
65,12,90,14
65,10,90,8
65,3,90,6
65,6,90,1
65,14,90,1
65,18,90,12
65,0,90,2
65,1,91,0
65,21,91,22
65,4,91,4
65,10,91,10
65,3,91,10
65,5,91,8
65,8,91,23
65,3,91,3
66,3,91,16
66,18,91,22
66,21,91,20
66,15,91,18
66,0,92,13
66,5,92,2
66,1,92,18
66,8,92,17
66,10,92,14
66,17,92,22
66,3,92,23
66,14,92,10
66,11,92,17
66,23,92,14
67,8,92,5
67,9,92,6
67,18,92,11
67,6,93,4
67,4,93,8
67,22,93,20
67,7,93,0
67,20,93,12
67,10,94,18
67,1,94,8
67,1,94,0
68,14,94,14
68,17,94,18
68,18,94,16
68,0,94,23
68,18,94,22
68,5,95,14
68,20,95,18
68,12,95,1
68,6,96,3
69,6,96,11
69,22,96,6
69,20,96,7
69,16,96,11
69,22,96,1
69,17,96,11
69,8,96,23
69,20,97,0
69,0,97,18
69,17,97,23
69,22,97,16
69,3,97,22
69,8,97,6
69,16,97,21
70,10,97,16
70,4,97,22
70,5,97,9
70,12,97,3
70,17,97,18
70,8,97,6
70,8,97,0
70,1,97,0
70,2,98,21
70,3,98,0
71,16,98,14
71,12,98,4
71,11,98,22
71,8,98,3
71,16,98,15
71,20,99,9
71,9,99,19
71,6,99,8
71,14,99,15
71,10,99,20
71,14,99,16
71,16,99,10
71,6,99,3
71,16,99,0
71,13,99,12
71,16,99,10
71,0,99,18
72,10,99,12
72,22,100,19
72,21,100,15
72,9,100,23
72,21,100,1
72,8,100,16
72,0,100,12
72,18,100,7
72,23,100,12
72,16,101,12
72,2,101,2
73,23,101,5
73,4,102,11
73,10,102,13
73,22,102,7
73,23,102,16
73,13,102,17
73,10,102,4
73,0,102,8
73,2,102,19
73,9,103,9
73,11,103,6
73,7,103,11
73,22,103,6
73,8,103,8
73,19,103,18
73,0,103,6
73,22,103,20
73,12,104,1
74,9,104,9
74,12,104,8
74,12,105,12
74,13,105,22
74,10,105,15
74,12,106,18
74,4,106,11
74,23,106,4
74,18,106,1
74,2,106,21
74,20,107,6
74,23,107,5
75,21,107,15
75,12,107,18
75,1,108,0
75,12,108,4
75,14,108,9
75,19,108,23
75,3,108,2
75,23,108,21
75,16,109,9
75,16,109,0
75,3,109,12
75,12,109,6
75,0,109,0
75,18,109,17
76,22,109,17
76,22,110,1
76,17,110,3
76,14,110,8
76,7,110,3
76,5,110,1
77,0,110,8
77,14,110,16
77,16,110,8
77,1,110,14
77,10,110,10
77,20,111,0
77,8,111,10
77,0,111,1
78,7,112,12
78,19,112,18
78,16,112,8
78,1,112,22
78,6,113,3
78,10,113,10
78,14,113,8
78,14,113,12
78,12,113,11
78,20,113,14
78,16,114,4
78,6,114,10
78,17,114,1
78,11,114,4
78,7,114,22
79,0,114,13
79,22,114,12
79,0,114,12
79,17,114,18
79,2,114,14
79,11,115,14
79,6,115,17
79,1,115,1
79,1,115,6
79,21,115,20
79,17,115,20
80,9,115,13
80,0,116,18
80,7,116,21
80,18,116,4
80,23,116,14
80,9,117,5
80,23,117,18
80,9,117,9
81,15,117,14
81,6,117,4
81,11,117,16
81,16,118,22
81,17,118,23
81,11,118,16
81,18,118,9
81,6,119,15
81,4,119,0
82,0,119,0
82,18,119,14
82,14,119,2
82,5,119,22
82,8,119,0
82,9,119,6
82,21,120,6
82,9,120,20
82,14,120,2
82,14,120,20
82,9,120,14
82,2,121,14
82,7,121,15
82,9,122,7
83,14,122,22
83,22,122,18
83,20,122,1
83,17,122,3
83,17,122,18
83,6,122,0
83,22,122,10
83,1,123,10
83,2,123,4
83,9,123,6
83,13,123,11
83,14,123,19
84,14,124,17
84,1,124,0
84,11,124,12
84,8,124,12
84,2,124,2
84,16,124,7
84,2,125,1
84,0,125,10
84,0,125,13
84,13,125,16
85,10,126,14
85,15,126,10
85,19,126,18
85,21,126,16
85,8,126,8
85,10,127,22
85,12,127,9
85,21,127,19
85,6,127,11
86,0,127,0
86,0,127,3
86,2,127,19
86,9,127,9
86,18,128,1
86,20,128,15
86,21,128,0
86,10,128,14
86,14,128,23
86,4,128,14
86,14,128,22
86,7,129,3
87,20,129,6
87,21,129,0
87,22,129,10
87,23,129,23
87,19,129,14
87,22,129,9
87,11,129,0
87,0,129,1
88,8,129,14
88,18,130,6
88,14,130,6
88,23,130,0
88,16,130,6
88,14,130,1
88,10,130,2
89,14,130,8
89,0,130,16
89,18,130,5
89,1,131,20
89,23,131,21
89,19,131,9
90,19,131,1
90,14,131,16
90,18,132,22
90,20,132,4
90,5,132,14
90,9,133,4
90,16,133,22
91,19,133,2
91,16,133,16
91,19,133,21
91,9,133,22
91,12,133,9
91,16,133,6
91,13,133,12
91,0,133,16
91,8,135,2
91,15,135,8
92,23,135,23
92,22,135,2
92,23,135,8
92,15,135,11
92,15,135,2
92,6,135,3
92,10,135,16
92,9,135,15
93,3,136,14
93,7,136,4
93,21,136,21
93,19,136,22
93,14,137,14
93,0,137,10
94,19,137,3
94,1,137,20
94,14,138,8
94,17,138,2
94,8,138,0
94,2,138,14
95,3,138,10
95,10,138,8
95,14,139,6
