!case,User Unique ID,n_favorited,n_diversity,n_genres,Read an average of...,Age,Gender,State,Education level,Civil status,Racial identity,Average income,Q1. The app provided some really good recommendations. ,Q2. The items recommended to me are diverse. ,Q3. I am eager to read the book(s) I have put on the reading list ,Q4. The recommendations helped me discover new books which I find interesting. ,Q5: The amount of information available was sufficient to make the decisions ,Q6: I was surprised by some of the recommendations ,Q7. Finding books to put on my reading list was easy ,Q8: My overall satisfaction with my selection of books on my reading list is high ,Q9: The items recommended to me matched my interests. ,Q10. I understood why the items were recommended to me. ,Q11. My overall satisfaction with the app is high. ,"Q12. I like the app, and I would use it again in the future.",Open feedback
case 042,b52e655a-d36a-4fc8-9640-39f2dfe5a935,2,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,Paraná,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",5,5,4,4,5,5,5,5,5,5,5,5,Gostaria de poder participar mais do app e ler os livros recomendados
case 043,cdaf88fd-75e6-40f5-b0b5-c353c60d7943,5,0,3,50 to 100 books in a year,18 - 21 anos,Feminino,Minas Gerais,Ensino médio incompleto,Solteiro(a),Branca,Prefiro não declarar,2,3,5,4,1,4,5,5,5,5,4,3,
case 044,d71c04e2-c8a2-49b6-8cba-20a5646b64a0,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,Minas Gerais,Superior incompleto,Solteiro(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,5,2,4,3,3,4,5,4,4,5,5,
case 045,d8fb1902-f342-4b41-8f35-05b782be9ad7,3,0,2,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,5,5,5,4,4,5,5,5,4,5,5,"Achei o app bem organizado e clean, fácil para encontrar as informações de forma clara."
case 046,e8caed21-f5a1-4f43-9fea-862cfbcab51c,5,0,2,6 to 20 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",4,5,5,5,5,4,5,5,5,5,5,5,
case 047,ec4c37e0-723e-48f9-8235-513556802170,5,0,1,50 to 100 books in a year,30 - 33 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",5,3,5,4,4,3,4,5,5,5,5,5,"Obrigada, e espero ser sorteada."
case 048,f5361ab5-7a3b-4162-88ca-f2753d2aff89,5,0,3,6 to 20 books in a year,22 - 25 anos,Feminino,Minas Gerais,Ensino médio completo,Solteiro(a),Preta,Prefiro não declarar,5,5,5,5,5,5,5,5,5,5,5,5,
case 049,f6dbfebc-41e9-4de9-a347-f9c067e2a0d0,5,0,3,20 to 50 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Preta,"De R$ 813,00 a R$ 1.805,00",4,4,5,4,5,4,5,5,5,5,4,4,
case 050,ffe55cc5-f955-4c57-96aa-9cec38c80b13,5,0,5,20 to 50 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,5,5,5,5,5,5,5,5,5,
case 051,b4e35a46-b3ad-47a6-87ee-93aa0fc252ea,5,1,2,50 to 100 books in a year,22 - 25 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",2,5,1,1,1,1,2,1,2,2,1,1,
case 052,1a4fe041-a6f9-4b4b-a58f-f361e7bddeb9,5,1,3,50 to 100 books in a year,18 - 21 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",5,5,5,4,4,4,4,2,5,5,5,5,
case 053,26f38101-02bf-4284-8cb1-f0296eaa5865,5,1,3,50 to 100 books in a year,22 - 25 anos,Feminino,Pará,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",2,2,2,2,2,3,2,2,2,2,2,2,
case 054,446958d1-3ecc-45fe-98ce-ed6dd739ecb4,4,1,1,20 to 50 books in a year,22 - 25 anos,Feminino,Paraná,Superior incompleto,União Estável,Branca,"De R$ 813,00 a R$ 1.805,00",3,2,3,2,1,2,1,2,1,2,1,1,"Escolhi o tema romance e nas recomendações tinha apenas 1 que era romance, os demais eram de outro gênero "
case 055,49f8145f-b00c-4b56-aa5f-726c139c9fd4,5,1,5,20 to 50 books in a year,34 - 37 anos,Feminino,Goiás,Pós-graduação completa,Casado(a),Parda,"De R$ 3.042,00 a R$ 5.449,00",4,4,1,1,1,2,4,2,4,4,2,3,"Os livros que escolhi eu já os li... os demais, não tive nenhum interesse. "
case 056,4e756a62-2779-4054-a79b-b2b0a51e08a5,5,1,1,6 to 20 books in a year,18 - 21 anos,Feminino,Bahia,Superior incompleto,Solteiro(a),Parda,Prefiro não declarar,4,5,4,5,4,3,2,2,4,5,4,4,"Acho de a lista de livros indicados deveria ser bem maior do que foi apresentado, ao fim, dentre os livros recomendados poucos foram aqueles que eu já não tinha realizado a leitura."
case 057,5ee948e0-7e01-4772-9dbe-e20661462341,5,1,3,50 to 100 books in a year,26 - 29 anos,Feminino,São Paulo,Ensino médio completo,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",3,3,2,3,2,3,1,2,2,2,3,3,Gostaria de ter visto mais recomendações sobre o gênero fantasia
case 058,62c372a2-d0b3-4eab-b9c4-1b5734497d2d,3,1,2,20 to 50 books in a year,18 - 21 anos,Feminino,Alagoas,Ensino médio completo,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,4,2,4,2,4,2,2,2,2,2,2,
case 059,70fd59cb-cded-48bd-a45f-7738c4b1fd92,5,1,3,20 to 50 books in a year,26 - 29 anos,Feminino,Paraná,Pós-graduação incompleta,Solteiro(a),Branca,"De R$ 3.042,00 a R$ 5.449,00",4,4,3,2,4,3,4,2,4,5,3,4,
case 060,72b459a5-b016-4447-ac33-806539508a01,5,1,1,6 to 20 books in a year,Mais de 40 anos,Feminino,São Paulo,Superior incompleto,Solteiro(a),Branca,"De R$ 1.805,00 a R$ 3.042,00",2,4,4,3,2,2,2,2,2,3,4,4,Não houve uma grande seleção gosto de livros de vários gêneros e não houve colocaram muitas opções. 
case 061,89fb015c-21d3-4997-ac5c-b61f38849907,5,1,4,6 to 20 books in a year,26 - 29 anos,Feminino,São Paulo,Superior completo,Casado(a),Branca,Prefiro não declarar,5,3,5,4,3,3,2,2,2,3,3,4,
case 062,9739d03c-e78d-4b06-a503-42645e9ed8f2,5,1,2,6 to 20 books in a year,Mais de 40 anos,Feminino,São Paulo,Ensino médio completo,Casado(a),Parda,"De R$ 1.805,00 a R$ 3.042,00",5,4,5,5,2,4,2,2,2,3,3,3,
case 063,9ec49d6a-7ed2-4740-ba3d-ec8907401657,5,1,3,20 to 50 books in a year,18 - 21 anos,Feminino,Goiás,Superior incompleto,Solteiro(a),Branca,"Acima de R$ 10.427,00",4,2,2,2,5,2,1,2,4,4,3,4,
case 064,a54913da-964a-4e39-8ca3-6720b52553f8,5,1,4,6 to 20 books in a year,18 - 21 anos,Feminino,Bahia,Superior incompleto,Solteiro(a),Parda,"De R$ 813,00 a R$ 1.805,00",4,4,5,5,5,4,2,2,4,5,4,4,
case 065,c6e1332c-a988-49d9-b13e-fb92ea095a85,5,1,3,1 to 5 books in a year,22 - 25 anos,Feminino,Rio Grande do Sul,Ensino médio completo,Solteiro(a),Branca,"De R$ 813,00 a R$ 1.805,00",4,4,4,4,2,5,2,2,2,3,2,2,
case 066,cbdfcaf2-99c4-4c4c-b694-6e94e1f10392,4,1,3,20 to 50 books in a year,26 - 29 anos,Feminino,Rio de Janeiro,Ensino médio completo,Casado(a),Parda,"Até R$ 813,00",3,2,4,2,1,1,1,2,4,3,2,3,"Acho que deveria ter mais opções de livros na página inicial, ou uma página ""infinita"", onde apareçam vários tipos de livros do gênero que coloquei, ao meu ver as opções foram muito poucas e não tão ecléticas, coloquei que gosto de romance, mais na categoria romance tem vários temas, dark romance, buling romance, entre outros, então gostaria que as opções fossem mais ecléticas. "
case 067,d2d7de26-6d0f-45ce-945b-80a396957187,5,1,2,6 to 20 books in a year,26 - 29 anos,Feminino,Minas Gerais,Pós-graduação completa,Solteiro(a),Branca,"De R$ 5.449,00 a R$ 10.427,00",2,4,2,2,1,2,4,2,2,4,2,2,"Acredito que o layout pode ser melhorado para fornecer mais informações sobre os livros, resenhas, avaliações... Também acredito que poderia ter uma ferramenta de pesquisa, além de maior diversificação e possibilidade de escolha de mais gêneros."
case 068,fbab768f-185c-4686-8985-d37ee16b12df,5,1,1,50 to 100 books in a year,Mais de 40 anos,Masculino,São Paulo,Ensino médio completo,Casado(a),Branca,"De R$ 813,00 a R$ 1.805,00",2,1,1,1,2,2,2,2,2,2,2,2,
